Date,Temperature
2024-04-15,28.8
2024-04-16,31.3
2024-04-17,28.9
2024-04-18,29.2
2024-04-19,28.9
2024-04-20,26.4
2024-04-21,29.4
2024-04-22,29.8
2024-04-23,33.6
2024-04-24,29.8
2024-04-25,30.7
2024-04-26,30.4
2024-04-27,28.9
2024-04-28,32.6
2024-04-29,32.2
2024-04-30,32.4
2024-05-01,30.1
2024-05-02,33.7
2024-05-03,29.7
2024-05-04,32.9
2024-05-05,35.5
2024-05-06,30.9
2024-05-07,31.7
2024-05-08,32.9
2024-05-09,32.2
2024-05-10,30.8
2024-05-11,33.4
2024-05-12,31.9
2024-05-13,34.3
2024-05-14,32.4
2024-05-15,36.3
2024-05-16,33.0
2024-05-17,33.8
2024-05-18,35.7
2024-05-19,32.8
2024-05-20,35.1
2024-05-21,36.9
2024-05-22,32.7
2024-05-23,35.5
2024-05-24,35.8
2024-05-25,36.7
2024-05-26,33.8
2024-05-27,33.8
2024-05-28,36.7
2024-05-29,36.5
2024-05-30,36.6
2024-05-31,36.9
2024-06-01,35.5
2024-06-02,37.0
2024-06-03,37.2
2024-06-04,35.8
2024-06-05,39.8
2024-06-06,37.8
2024-06-07,35.4
2024-06-08,38.3
2024-06-09,35.9
2024-06-10,38.7
2024-06-11,39.3
2024-06-12,36.5
2024-06-13,39.2
2024-06-14,38.5
2024-06-15,39.2
2024-06-16,40.9
2024-06-17,37.8
2024-06-18,37.1
2024-06-19,36.9
2024-06-20,37.1
2024-06-21,38.3
2024-06-22,39.0
2024-06-23,38.9
2024-06-24,39.8
2024-06-25,38.7
2024-06-26,40.9
2024-06-27,38.3
2024-06-28,42.9
2024-06-29,39.8
2024-06-30,37.6
2024-07-01,37.3
2024-07-02,39.6
2024-07-03,38.6
2024-07-04,40.0
2024-07-05,39.7
2024-07-06,38.9
2024-07-07,37.7
2024-07-08,36.7
2024-07-09,38.3
2024-07-10,40.3
2024-07-11,39.3
2024-07-12,37.1
2024-07-13,39.2
2024-07-14,39.5
2024-07-15,37.6
2024-07-16,39.2
2024-07-17,39.0
2024-07-18,37.2
2024-07-19,39.4
2024-07-20,39.6
2024-07-21,40.4
2024-07-22,40.3
2024-07-23,36.6
2024-07-24,37.2
2024-07-25,39.3
2024-07-26,39.3
2024-07-27,39.2
2024-07-28,44.2
2024-07-29,39.2
2024-07-30,40.0
2024-07-31,39.6
2024-08-01,39.1
2024-08-02,37.5
2024-08-03,39.1
2024-08-04,36.7
2024-08-05,37.4
2024-08-06,36.9
2024-08-07,37.7
2024-08-08,40.9
2024-08-09,34.6
2024-08-10,38.3
2024-08-11,34.7
2024-08-12,36.3
2024-08-13,38.6
2024-08-14,36.9
2024-08-15,35.1
2024-08-16,35.5
2024-08-17,37.5
2024-08-18,35.2
2024-08-19,36.5
2024-08-20,36.1
2024-08-21,34.9
2024-08-22,39.0
2024-08-23,36.6
2024-08-24,32.4
2024-08-25,35.6
2024-08-26,34.2
2024-08-27,36.3
2024-08-28,33.7
2024-08-29,34.5
2024-08-30,35.3
2024-08-31,35.7
2024-09-01,32.4
2024-09-02,33.6
2024-09-03,33.2
2024-09-04,32.8
2024-09-05,36.2
2024-09-06,34.0
2024-09-07,31.3
2024-09-08,34.4
2024-09-09,36.0
2024-09-10,34.2
2024-09-11,30.2
2024-09-12,31.6
2024-09-13,34.0
2024-09-14,30.9
2024-09-15,32.4
2024-09-16,32.7
2024-09-17,30.0
2024-09-18,31.1
2024-09-19,26.1
2024-09-20,29.2
2024-09-21,30.2
2024-09-22,28.5
2024-09-23,32.6
2024-09-24,27.8
2024-09-25,29.1
2024-09-26,29.8
2024-09-27,31.5
2024-09-28,27.0
2024-09-29,30.7
2024-09-30,28.8
2024-10-01,27.1
2024-10-02,29.1
2024-10-03,28.5
2024-10-04,27.1
2024-10-05,27.9
2024-10-06,27.0
2024-10-07,27.5
2024-10-08,28.1
2024-10-09,29.3
2024-10-10,24.9
2024-10-11,29.7
2024-10-12,23.4
2024-10-13,25.9
2024-10-14,26.8
2024-10-15,26.1
2024-10-16,24.5
2024-10-17,25.0
2024-10-18,24.3
2024-10-19,24.0
2024-10-20,25.9
2024-10-21,25.0
2024-10-22,23.2
2024-10-23,25.4
2024-10-24,24.3
2024-10-25,24.9
2024-10-26,24.4
2024-10-27,22.0
2024-10-28,22.2
2024-10-29,24.0
2024-10-30,23.6
2024-10-31,22.5
2024-11-01,22.5
2024-11-02,24.0
2024-11-03,21.0
2024-11-04,22.6
2024-11-05,21.3
2024-11-06,21.0
2024-11-07,22.8
2024-11-08,22.2
2024-11-09,22.1
2024-11-10,22.6
2024-11-11,20.5
2024-11-12,21.3
2024-11-13,19.7
2024-11-14,20.5
2024-11-15,19.6
2024-11-16,19.8
2024-11-17,20.4
2024-11-18,18.1
2024-11-19,22.3
2024-11-20,17.5
2024-11-21,17.0
2024-11-22,20.4
2024-11-23,19.7
2024-11-24,19.3
2024-11-25,19.2
2024-11-26,18.1
2024-11-27,16.6
2024-11-28,18.0
2024-11-29,16.7
2024-11-30,19.1
2024-12-01,17.2
2024-12-02,16.1
2024-12-03,16.7
2024-12-04,17.7
2024-12-05,16.1
2024-12-06,15.6
2024-12-07,17.1
2024-12-08,17.0
2024-12-09,15.8
2024-12-10,15.7
2024-12-11,16.7
2024-12-12,14.1
2024-12-13,14.1
2024-12-14,15.0
2024-12-15,15.7
2024-12-16,16.4
2024-12-17,18.1
2024-12-18,17.1
2024-12-19,15.5
2024-12-20,15.6
2024-12-21,14.1
2024-12-22,15.5
2024-12-23,15.0
2024-12-24,15.9
2024-12-25,14.1
2024-12-26,16.1
2024-12-27,17.6
2024-12-28,15.0
2024-12-29,15.8
2024-12-30,16.2
2024-12-31,14.5
